iso_code;continent;location;date;population;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;total_tests
BRA;South America;Brazil;03/01/2020;215313504;;0;;;0;;;0;;;0;;;;;;;;;;;
BRA;South America;Brazil;04/01/2020;215313504;;0;;;0;;;0;;;0;;;;;;;;;;;
BRA;South America;Brazil;05/01/2020;215313504;;0;;;0;;;0;;;0;;;;;;;;;;;
BRA;South America;Brazil;06/01/2020;215313504;;0;;;0;;;0;;;0;;;;;;;;;;;
BRA;South America;Brazil;07/01/2020;215313504;;0;;;0;;;0;;;0;;;;;;;;;;;
BRA;South America;Brazil;08/01/2020;215313504;;0;0;;0;0;;0;0;;0;0;;;;;;;;;;
BRA;South America;Brazil;09/01/2020;215313504;;0;0;;0;0;;0;0;;0;0;;;;;;;;;;
BRA;South America;Brazil;10/01/2020;215313504;;0;0;;0;0;;0;0;;0;0;;;;;;;;;;
BRA;South America;Brazil;11/01/2020;215313504;;0;0;;0;0;;0;0;;0;0;;;;;;;;;;
BRA;South America;Brazil;12/01/2020;215313504;;0;0;;0;0;;0;0;;0;0;;;;;;;;;;
BRA;South America;Brazil;13/01/2020;215313504;;0;0;;0;0;;0;0;;0;0;;;;;;;;;;
BRA;South America;Brazil;14/01/2020;215313504;;0;0;;0;0;;0;0;;0;0;;;;;;;;;;
BRA;South America;Brazil;15/01/2020;215313504;;0;0;;0;0;;0;0;;0;0;;;;;;;;;;
BRA;South America;Brazil;16/01/2020;215313504;;0;0;;0;0;;0;0;;0;0;;;;;;;;;;
BRA;South America;Brazil;17/01/2020;215313504;;0;0;;0;0;;0;0;;0;0;;;;;;;;;;
BRA;South America;Brazil;18/01/2020;215313504;;0;0;;0;0;;0;0;;0;0;;;;;;;;;;
BRA;South America;Brazil;19/01/2020;215313504;;0;0;;0;0;;0;0;;0;0;;;;;;;;;;
