iso_code;continent;location;date;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;total_boosters_per_hundred;new_vaccinations_smoothed_per_million;new_people_vaccinated_smoothed;new_people_vaccinated_smoothed_per_hundred;stringency_index;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;population;excess_mortality_cumulative_absolute;excess_mortality_cumulative;excess_mortality;excess_mortality_cumulative_per_million
BRA;South America;Brazil;03/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;04/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;05/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;06/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;07/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;08/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;09/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;10/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;11/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;12/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;13/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;14/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;15/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;16/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;17/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;18/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;19/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;20/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;21/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;22/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;23/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;24/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;25/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;26/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;27/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;28/01/2020;;;;;;;;;;;;;;;;;;;;;;;0;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;29/01/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;30/01/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;31/01/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;-723.7;-0.65;-0.65;-3.394524
BRA;South America;Brazil;01/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;02/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;03/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;04/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;05/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;06/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;07/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;08/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;09/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;10/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;11/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;12/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;13/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;14/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;15/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;16/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;17/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;18/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;19/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;20/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;21/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;22/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;23/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;24/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;25/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;26/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;27/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;28/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;29/02/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;2427.8;1.14;3.12;11.387628
BRA;South America;Brazil;01/03/2020;;;;;;;;;;;;;;;;;;;;;;;5.56;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;02/03/2020;;;;;;;;;;;;;;;;;;;;;;;11.11;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
BRA;South America;Brazil;03/03/2020;;;;;;;;;;;;;;;;;;;;;;;11.11;25.04;33.5;8.552;5.06;14103.452;3.4;177.961;8.11;10.1;17.9;;2.2;75.88;0.765;215313504;;;;
